,1th value,2th value,3th value,4th value,5th value,6th value,7th value,8th value,9th value,10th value,11th value,12th value,13th value,14th value,15th value,16th value,17th value,18th value,19th value,20th value,21th value,22th value,23th value,24th value,25th value,26th value,27th value,28th value,29th value,30th value,31th value,32th value,33th value,34th value,35th value,36th value,37th value,38th value,39th value,40th value,41th value,42th value,43th value,44th value,45th value,46th value,47th value,48th value,49th value,50th value,51th value,52th value,53th value,54th value,55th value,56th value,57th value,58th value,59th value,60th value,61th value,62th value,63th value,64th value,65th value,66th value,67th value,68th value,69th value,70th value,71th value,72th value,73th value,74th value,75th value,76th value,77th value,78th value,79th value,80th value,81th value,82th value,83th value,84th value,85th value,86th value,87th value,88th value,89th value,90th value,91th value,92th value,93th value,94th value,95th value,96th value,97th value,98th value,99th value,100th value,101th value,102th value,103th value,104th value,105th value,106th value,107th value,108th value,109th value,110th value,111th value,112th value,113th value,114th value,115th value,116th value,117th value,118th value,119th value,120th value,121th value,122th value,123th value,124th value,125th value,126th value,127th value,128th value,129th value,130th value,131th value,132th value,133th value,134th value,135th value,136th value,137th value,138th value,139th value,140th value,141th value,142th value,143th value,144th value,145th value,146th value,147th value,148th value,149th value,150th value,151th value,152th value,153th value,154th value,155th value,156th value,157th value,158th value,159th value,160th value,161th value,162th value,163th value,164th value,165th value,166th value,167th value,168th value,169th value,170th value,171th value,172th value,173th value,174th value,175th value,176th value,177th value,178th value,179th value,180th value,181th value,182th value,183th value,184th value,185th value,186th value,187th value,188th value,189th value,190th value,191th value,192th value,193th value,194th value,195th value,196th value,197th value,198th value,199th value,200th value,201th value,202th value,203th value,204th value,205th value,206th value,207th value,208th value,209th value,210th value,211th value,212th value,213th value,214th value,215th value,216th value,217th value,218th value,219th value,220th value,221th value,222th value,223th value,224th value,225th value,226th value,227th value,228th value,229th value,230th value,231th value,232th value,233th value,234th value,235th value,236th value,237th value,238th value,239th value,240th value,241th value,242th value,243th value,244th value,245th value,246th value,247th value,248th value,249th value,250th value,genre,type
916,34,3455,321,8,2123,531,4,191,4314,1320,1,425,14,18,131,2,707,775,27,1691,205,521,1,29,11,14,107,446,5,73,41,22,104,3,99,155,6,223,142,12,200,572,115,4,585,454,23,2,164,173,195,72,155,6,16,5,39,4,270,151,510,23,27,1507,1879,20,10,151,2972,11,23,27,1,17,406,106,62,3052,7,640,148,513,22,466,311,13,370,4,7,454,29,15,44,14,151,151,151,151,2,618,769,31,1,106,3325,22,17,3637,7,6,692,442,579,5,164,2151,11,5767,1225,1590,22,225,3322,435,16,131,4,161,187,907,356,1043,52,4,624,285,718,633,324,187,7,640,69,359,572,115,4,585,22,591,9,16,769,15,623,196,288,63,424,923,1144,1365,24,446,336,206,227,154,146,919,9,16,89,22,521,1,29,11,14,107,446,5,73,41,22,104,3,99,155,6,223,142,12,200,572,115,4,585,454,23,2,164,173,195,72,155,6,16,5,39,4,270,521,1,29,11,14,107,446,5,73,41,22,104,3,99,155,6,223,142,12,200,572,115,4,585,454,23,2,164,173,195,72,155,6,16,5,39,4,270,1,train
917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,241,1,train
918,266,11,935,12,539,149,444,4590,125,5,16,4,2321,341,3,352,1039,20,133,846,10,968,31,1,2,225,54,1806,3411,85,867,11,767,690,21,220,2140,39,1652,3,176,340,2945,4,300,19,2,1088,172,6633,6,1059,10,335,21,41,3066,1104,7,1744,216,321,12,46,1890,4,664,311,2651,142,8,1446,550,3,5161,591,39,38,207,786,2271,3508,716,12,5162,2064,30,716,730,337,101,309,785,41,291,48,910,1539,1,6634,6,717,84,218,58,281,785,767,300,14,2466,1587,48,444,105,5,8,752,4013,10,5,1513,6,1671,61,249,31,1,18,375,12,866,26,140,39,4,27,18,587,1,99,1,281,31,828,165,4649,11,2859,608,3295,610,497,622,19,6,4315,5070,18,1062,2272,32,462,138,242,528,79,256,326,64,22,441,675,12,191,172,294,12,256,3454,60,3710,500,62,3,145,99,13,82,4,5,8,635,29,15,375,58,7,6,381,7,6,1522,39,4,393,675,15,3,1319,510,763,10,788,2444,65,305,1044,815,66,4,1725,280,731,6356,11,677,817,885,900,622,1473,79,748,2243,531,76,309,785,41,291,48,910,1539,1,6634,6,717,84,218,1,train
919,74,1,1302,127,7,11,1479,8,1217,44,100,268,55,20,1452,169,9,78,3284,50,155,32,237,7,11,9,27,74,1,2386,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,9,6,1552,9,6,74,948,4,278,163,469,677,2,119,113,189,368,13,4535,12,58,259,17,5,8,234,495,1457,497,174,8,68,1581,9,11,181,1561,5,8,9,4,1579,24,1,721,114,346,447,117,7,11,72,2,119,283,922,6636,47,341,7,11,1479,8,1217,44,100,268,55,20,1452,169,9,78,3284,50,155,32,237,7,11,9,27,74,1,1302,127,7,11,1479,8,1217,44,100,268,55,20,1452,169,9,78,3284,50,155,32,237,7,11,9,27,74,1,2386,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,144,276,266,9,60,63,15,274,2,9,12,74,47,2,1577,184,68,54,1,train
920,21,796,335,32,555,195,71,299,32,940,4,1744,335,32,3486,1,156,677,178,335,32,151,10,1151,18,69,649,1277,649,18,34,863,57,5,8,1207,372,132,36,2103,1562,367,439,53,188,54,166,4,2003,4,55,675,12,1986,1733,1697,4,1408,918,60,500,4,481,53,4650,1103,101,38,191,398,191,398,151,274,666,955,306,53,1152,1152,1648,4556,187,2,68,1355,299,32,1546,239,150,978,179,117,126,151,595,2001,34,34,34,905,117,126,3501,9,7,35,18,4651,4316,2,198,68,5,115,4,975,1947,10,461,488,565,105,68,18,267,92,236,339,4,7,439,502,927,1246,39,68,418,5,8,33,2009,67,2009,9,7,272,674,7,11,641,236,5164,837,515,43,7,11,515,461,489,32,851,1,83,372,12,3,837,18,100,697,437,4650,1795,4,130,659,388,87,51,44,803,6637,124,129,18,21,796,335,32,555,195,71,299,32,940,4,1744,335,32,3486,1,156,677,178,335,32,151,10,1151,18,69,649,1277,649,18,34,863,57,5,8,1207,372,132,36,2103,1562,367,439,53,188,54,166,4,2003,4,55,675,12,1986,1733,1697,4,1408,918,60,500,4,1,train
921,233,195,102,125,110,24,378,31,214,3292,2486,1,157,16,72,379,300,14,882,322,1840,657,84,276,705,14,82,4,294,419,491,6639,93,4,199,206,908,60,144,276,151,4,469,14,284,117,267,148,2,84,117,38,8,3138,443,368,10,818,16,123,5,10,1715,199,199,206,164,12,1294,623,1,18,2509,58,120,12,1715,1530,1530,1530,2,70,299,18,58,2546,11,740,34,941,816,5,692,93,4,2250,466,23,2027,2214,240,125,122,4317,115,4,750,240,301,10,925,523,3299,161,826,1334,5,8,417,679,15,4489,186,5,8,102,67,15,23,1213,762,90,1561,9,6,336,677,741,6,3621,348,758,5,696,2,9,6,1218,2,68,24,10,39,1,18,83,8,1316,3871,710,85,5,91,10,6640,1725,34,11,767,64,22,226,1,5,2,119,15,64,826,909,733,89,95,19,32,1530,19,10,280,52,105,240,392,1,29,123,2945,4,302,61,632,1,164,89,99,44,55,107,1220,308,330,32,161,5,1181,2,38,8,3138,443,368,10,818,16,123,5,10,1715,199,199,206,164,12,1294,623,1,18,2509,58,120,12,1715,1530,1530,1530,2,70,299,18,58,1,train
922,61,1957,857,30,23,41,1133,105,1278,498,23,41,1933,1018,7,658,43,5,2823,1597,16,164,46,204,3509,52,3,5165,67,15,376,1,58,1644,11,910,743,4,31,367,936,725,10,222,216,20,2407,1,592,111,819,244,11,1,242,3,39,1228,5,335,8,3920,260,75,18,193,923,135,240,2482,2,3052,342,5,168,3,166,1227,376,47,292,2,444,5050,21,1660,817,203,4,320,24,4,87,7,852,865,1,184,233,56,20,16,15,233,87,450,1,29,15,233,526,29,15,233,9,12,147,15,2509,2165,10,6428,330,32,319,1660,708,18,1150,342,3,624,465,316,3,3426,715,6641,2,82,52,497,7,11,359,1013,166,316,3,1772,812,131,105,546,703,2,1689,50,69,2,43,133,74,1,17,889,1981,727,3,3704,122,1028,256,1118,37,150,157,16,14,76,144,91,3,214,157,3271,18,174,324,233,977,3,199,9,60,63,1359,3298,276,26,8,328,4,15,24,3,1352,13,24,970,4,1389,5,589,56,165,141,2,65,287,228,50,301,1,258,44,313,298,18,57,233,56,20,16,15,233,87,450,1,29,15,233,526,29,15,233,9,12,147,15,1,train
923,0,0,0,0,0,0,0,0,0,0,5,472,3,234,5,8,231,213,753,4,9,8,540,449,398,32,20,3,125,235,67,6642,1113,268,697,740,18,268,5,115,4,1442,2,1533,376,38,320,565,2376,102,44,68,13,375,370,4,103,12,102,44,30,1244,39,68,786,9,12,117,65,9,12,4318,1,362,54,1268,4,1758,3,41,31,1,5166,18,9,8,72,2809,65,1,24,10,100,231,218,54,1425,48,41,442,19,3,717,1,1639,361,8,100,126,196,90,3282,12,276,836,3,534,24,36,7,6,1078,2982,51,23,2,588,35,15,7,6,1078,2982,51,23,2,588,35,15,277,218,149,265,1779,1,398,1,630,34,203,4,4579,6,2396,3,539,463,74,1,18,26,1609,4,114,320,565,4,331,163,103,9,60,1,196,173,44,353,22,126,49,19,2,165,151,3,2972,11,4,1155,733,1252,344,5660,160,2195,857,21,70,2152,367,274,715,1659,345,151,2,30,1592,193,24,517,31,1,923,22,64,588,923,104,6,3255,532,417,271,1484,57,11,408,3,532,7,6,1078,2982,51,23,2,588,35,15,7,6,1078,2982,51,23,2,588,35,15,1,train
924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,340,417,1998,24,1036,16,58,253,50,46,409,85,43,29,15,1,train
925,619,89,29,14,20,19,1064,1429,385,2,333,657,2,763,3,1623,15,61,2525,1229,95,341,1493,136,3744,1,66,985,1,66,985,213,566,10,35,50,657,2,43,15,35,659,371,19,10,14,121,486,18,196,233,985,233,985,495,39,233,297,925,58,69,2,30,311,2,39,43,58,120,892,2010,9,8,1612,23,19,9,8,391,23,19,752,3219,48,234,54,959,9,8,391,1425,12,136,17,2843,9,12,748,7,17,20,147,4196,255,9,6,2,18,95,2,7,122,528,258,29,14,9,11,150,144,136,158,19,2,7,619,89,29,14,20,19,1064,122,528,258,29,14,24,1,22,72,87,158,19,2,7,619,89,29,14,20,19,1064,91,3,419,2,3048,1450,40,157,23,16,123,143,4187,95,1,753,4006,41,487,64,22,661,142,46,43,338,31,1,588,44,15,7,6,151,556,9,8,15,82,19,4,7,6,989,19,2,34,456,1446,9,8,117,156,2,152,122,528,258,29,14,9,11,150,144,136,158,19,2,7,619,89,29,14,20,19,1064,122,528,258,29,14,24,1,22,72,87,158,19,2,7,619,89,29,14,20,19,1064,1,train
926,2250,3975,21,752,2030,4,1273,1396,3262,3,532,142,4,120,12,1145,955,884,1300,66,3326,2,66,37,87,413,3,132,260,18,142,12,132,44,18,142,32,33,132,44,38,85,17,34,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,85,17,34,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,66,2,333,21,1903,294,4,535,1903,6,294,48,58,1903,6,69,3,118,144,189,690,66,2,333,18,89,31,1,23,27,41,155,445,960,10,84,826,6,104,3,929,4,778,15,690,2,999,8,395,57,113,46,115,4,1533,529,74,17,529,529,76,48,1152,66,4,5769,1,259,66,19,10,737,3121,32,302,5,2089,10,297,483,15,5,463,1682,105,14,2,999,12,595,179,116,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,85,17,34,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,85,17,34,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,85,17,34,66,2,506,565,232,122,810,1,15,2,107,65,561,32,69,3,189,1,train
927,330,12,3893,49,10,14,85,1436,4652,19,55,675,60,681,2335,301,10,2034,3745,203,4,287,2362,265,2260,1467,344,50,125,1310,12,182,1,75,16,4987,1849,4207,6,1877,6643,10,10,110,2183,4,2740,1157,4,230,99,2002,4282,2098,1,721,83,2983,6614,73,27,4014,50,1,154,613,150,272,58,2389,1,230,5630,2,119,501,1244,12,58,1281,92,39,589,18,39,35,5,614,301,273,334,4,488,2,215,30,409,137,1058,10,1740,5167,4,2515,165,605,4,5,614,301,273,334,4,488,2,215,30,409,137,1058,10,1740,5167,4,2515,165,605,4,1,630,5,3122,14,10,1967,3142,642,463,3455,199,2135,47,128,4015,1,22,222,1870,136,981,2266,10,174,324,1455,5,945,10,5770,1873,115,62,40,101,266,11,10,629,208,138,1861,6,763,308,65,1968,39,38,57,65,5771,731,58,530,87,1210,76,27,1308,240,870,1616,56,7,83,26,5772,1,29,14,151,16,2053,612,2136,7,1659,65,3140,3433,151,2001,18,31,38,83,19,24,4,173,305,1,52,156,19,10,21,400,874,27,1227,1191,5017,1468,65,3143,173,305,775,6519,87,2693,166,4,2507,35,141,72,6644,195,1,train
928,5104,85,548,2149,52,2007,10,5773,999,57,1342,966,993,204,17,3139,85,228,2924,1298,16,2259,2,14,34,126,151,124,87,226,90,5171,874,3,17,57,67,1,3450,186,1282,123,752,4,173,2452,2967,306,2105,249,2971,6645,37,829,21,773,5,569,11,2105,3,1319,171,5172,1,692,4,151,2313,3,70,1540,519,2,119,1295,2940,3911,1,40,759,5169,426,1190,2255,1136,327,19,1151,625,210,151,3,1504,35,2,400,625,93,3911,1,55,20,3511,5,8,256,263,388,195,792,5008,276,5,2273,4,1630,103,34,276,242,151,3911,870,6380,33,38,4016,6646,263,220,4653,65,340,122,220,1163,26,70,1540,265,203,729,6647,692,4,151,2313,3,70,1540,519,2,119,1295,2940,3911,1,40,759,5169,426,1190,4654,6648,2698,3211,1,1196,3691,569,39,17,2,116,1035,47,1282,1874,6649,692,1049,32,2924,463,18,2103,18,2488,509,6650,420,2331,3144,4,35,4654,6648,328,3512,18,840,172,3300,2984,10,4516,692,151,2313,3,70,347,1955,2981,1428,3962,32,2559,1914,380,5,1131,4,394,4017,18,62,210,2472,32,692,4,151,2313,3,70,1540,519,2,119,1295,2940,3911,1,40,759,5169,426,1190,1,train
929,196,74,1,75,16,263,4655,4,75,16,18,331,2183,4,33,278,33,520,18,5,8,246,55,3746,6,1043,12,278,5628,103,8,75,10,308,187,7,331,52,37,817,1,24,18,222,240,271,27,38,109,321,232,18,2190,12,771,49,19,4,983,3,231,629,197,17,2936,4,1893,41,104,3,99,74,17,516,3327,12,347,202,8,100,353,3145,341,4175,93,4,5775,4555,2063,464,7,6,66,341,3327,5,8,2514,2,14,40,20,405,755,933,54,5,681,16,915,41,4656,96,57,4319,2,1056,376,38,2127,161,1218,52,5,696,2,127,600,279,600,84,143,64,1662,26,53,4656,5,96,3,409,1998,865,10,39,1,33,278,33,520,18,5,8,246,55,3746,6,1043,12,278,5628,103,8,75,10,308,187,7,331,52,37,817,1,24,18,222,240,271,2448,109,321,232,18,2190,12,771,118,69,4555,353,3611,3,2396,299,279,1458,30,3269,11,14,5509,12,1534,40,143,64,5,306,75,120,676,214,5,558,91,3,59,2,20,54,538,43,118,18,5,8,246,55,18,5,8,246,55,755,933,54,5,681,16,772,460,38,5,197,16,18,5,8,246,55,1,train
930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1047,123,272,5,8,1,986,5,8,1,1460,2874,35,545,88,216,1047,123,272,5,8,1,986,5,8,1,1460,2874,35,545,88,1569,1719,35,545,88,35,545,88,1,train
931,905,1306,21,326,64,22,7,281,5,881,10,5,91,37,221,5,194,19,62,5776,2695,32,221,5,49,65,258,128,14,164,1095,34,472,1639,49,57,646,326,64,287,105,1317,228,326,301,1,13,565,32,16,1639,49,103,251,113,1498,71,49,19,10,33,962,1248,3,29,517,14,453,8,315,1,5,328,4,452,19,2,15,143,429,454,44,2,23,517,14,9,1041,17,137,99,74,1,360,49,19,27,163,5,1639,4,5,194,19,62,63,15,64,18,326,64,22,7,11,138,242,528,148,27,175,407,18,292,52,48,5,8,121,89,18,164,95,1,5,1195,57,11,151,288,5,49,19,16,728,938,52,36,360,77,54,910,546,35,68,905,1306,21,326,64,22,881,19,3,326,64,22,5,194,19,62,63,15,64,18,20,147,49,15,7,121,455,3396,7,11,403,2334,563,910,9,8,33,284,558,113,20,4,120,1,1400,12,719,37,563,20,4,6651,16,31,1,20,1320,1,26,24,4,484,293,125,22,279,149,5759,18,154,4,15,378,163,453,6,108,3,175,16,71,305,1,4018,2,546,895,8,68,5,881,194,164,221,272,204,1,train
932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,253,281,177,87,33,146,56,7,11,2,119,14,18,79,1107,589,35,589,366,31,1,87,167,4657,348,5,74,105,482,132,82,2,65,5,168,3,63,1,1080,2,43,5,95,105,482,1734,2,265,293,1621,2083,82,16,1972,22,82,2089,4,118,196,90,1048,223,162,32,18,253,281,177,87,33,146,56,7,11,2,119,14,18,79,1107,589,35,33,221,221,5,8,113,512,166,429,5,8,50,43,40,694,217,528,31,258,129,79,3,532,87,33,1,5,810,63,188,1,train
933,0,0,0,0,0,0,0,0,671,159,14,671,159,14,104,1117,23,2,628,2,104,1117,39,105,13,273,16,20,671,31,1,33,671,132,36,1449,31,1,567,4185,18,115,27,17,910,5,142,27,200,38,1290,4,4,469,4,18,986,57,995,33,693,369,1360,5,39,4,767,15,23,3,1334,602,344,602,5777,5778,12,449,5779,4320,792,323,928,125,396,4,2265,8,103,544,1295,485,18,2838,3210,85,2,153,16,5,269,3,3210,3252,534,765,2054,534,993,2052,8,6640,114,91,280,239,97,38,5,130,97,38,95,1,97,38,18,378,204,1,97,38,5,130,97,38,95,1,97,38,18,378,204,1,18,423,6587,1,29,35,14,2,1321,4,204,20,136,117,2228,203,101,3117,1045,39,384,204,713,206,446,1,5,1600,478,556,204,1416,37,986,1576,204,1,20,986,1576,40,510,658,1405,7,910,184,19,2,4658,847,388,3747,32,1172,660,507,1185,22,7,11,2986,46,2986,3,4321,1,9,228,230,2986,1,46,4321,1,252,205,186,97,38,5,130,97,38,95,1,97,38,18,378,204,1,97,38,5,130,97,38,95,1,97,38,18,378,204,1,1,train
934,11,2274,1928,2,1,66,186,448,68,1400,88,18,68,2,24,478,19,294,12,1190,661,728,726,123,3,624,1433,1076,1,2412,1934,124,18,526,50,2210,1,5,1282,515,3,1063,1369,24,1,5,5174,11,72,5,1797,4,1468,19,39,3749,2,985,198,84,3328,7,6,5782,297,3673,5,735,10,1230,239,38,1676,118,69,2,44,5,488,6,1644,1429,385,62,31,728,2153,101,95,2,84,567,34,124,297,1,1,1284,2523,40,101,824,79,31,584,468,105,868,47,2,513,22,1277,232,420,7,6,138,935,367,376,5020,1985,69,2,379,3329,10,2814,7,6,210,72,450,1,497,433,48,245,40,24,1,2566,68,18,152,2105,10,2466,3,117,2096,1434,521,11,384,18,39,1,2864,274,19,2,5,614,2215,67,132,524,125,5,1562,954,2610,16,66,27,464,612,22,5,3124,2597,1241,1821,1,1983,6652,8,30,3725,57,11,1313,99,341,1008,1088,172,126,681,6653,1313,1,604,150,5,142,126,3282,57,11,2274,1928,2,57,11,2274,1928,2,57,11,2274,1928,2,1,66,186,448,68,57,11,2274,1928,2,57,11,2274,1928,2,57,11,2274,1928,2,1,66,186,448,68,1,train
935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1661,30,729,72,9,26,11,4660,716,12,2567,97,399,18,1872,32,161,56,7,11,4007,1627,1127,56,7,11,4007,56,7,11,4007,280,8,109,13,77,32,3,424,280,8,109,13,77,32,3,424,5175,2556,5175,2556,1150,33,1102,9,13,39,4,9,6,263,1150,33,1102,9,13,39,4,9,6,263,342,4,5783,47,485,9,26,11,31,711,33,74,3,1,177,245,355,85,442,1,245,355,71,85,10,72,1,train
936,56,40,282,658,2325,58,75,16,136,17,204,136,234,752,14,399,529,1711,2,52,4,33,4661,7,525,39,147,5,106,813,162,32,287,62,401,13,323,928,3993,14,20,4662,37,986,20,5051,1,2708,20,239,1,49,19,13,330,1956,1690,31,1,5,3748,3,6413,455,40,16,5,1719,11,173,300,14,6657,3,50,590,226,136,58,271,1,24,1829,56,114,41,104,794,114,717,30,104,794,571,59,1236,1942,16,390,293,1621,175,127,175,283,17,56,40,282,658,2325,58,75,16,136,17,56,58,127,58,717,30,5,96,3,2,119,72,5113,473,27,150,658,2325,58,75,16,136,17,57,161,4663,951,13,148,2,687,410,34,472,39,497,368,10,193,5,8,1001,1108,2,746,3,3232,145,461,27,242,3,2852,125,58,50,632,1,1654,930,60,240,309,4159,8,18,6584,165,516,110,776,19,6,24,2717,4,1292,74,19,62,18,39,1329,5,8,276,2,545,265,24,136,1942,16,390,293,1621,175,127,175,283,17,56,40,282,658,2325,58,75,16,136,17,56,58,127,58,717,30,5,96,3,2,119,72,5113,473,27,150,658,2325,58,75,16,136,17,1,train
937,48,1592,162,349,311,48,679,164,1037,613,3905,47,49,3,17,3140,392,6658,1015,6,1834,1109,1123,14,58,32,99,5,8,75,3749,281,172,706,21,70,4665,1,1973,18,34,834,899,104,3,2076,488,10,4253,4,164,66,1593,104,4,1132,4,172,138,935,8,31,655,40,13,153,2,847,2,77,994,1,2103,936,274,2627,3146,670,32,21,70,4666,362,322,445,234,120,120,654,765,2,65,374,121,367,121,9,11,561,117,2,76,3,67,1160,311,3,195,1241,101,9,8,1677,77,1,229,1316,5176,3,1352,1,4566,4,322,150,1827,144,245,40,11,84,15,2756,8,30,106,57,11,65,85,17,3140,3659,300,794,21,1692,171,4324,117,2489,1278,12,182,1,34,176,113,761,2149,39,52,101,482,100,126,114,7,6,989,52,4,868,6659,161,479,14,2756,6660,18,30,64,22,106,6,5560,509,7,6,1807,11,1872,32,366,416,60,1267,75,10,1872,32,816,266,1268,233,1255,1,21,190,41,161,10,245,350,55,1329,2832,16,779,454,370,4,574,1300,681,4664,40,6,5785,3,21,655,270,21,70,4666,362,322,445,234,120,120,654,765,2,65,374,121,367,121,1,train
938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,106,3,58,189,20,105,410,336,14,39,476,397,260,835,948,10,61,95,1,34,11,106,3,3305,29,14,61,95,1,835,106,186,21,89,247,35,424,835,271,52,4,18,147,7,6,106,10,100,555,18,22,2837,190,5177,32,115,27,175,3853,105,49,19,21,72,305,27,1,18,106,3,1227,21,1431,2760,253,2,1943,1193,99,18,729,3040,4325,32,18,85,132,36,118,41,2194,32,2907,179,6661,298,72,87,204,1,18,244,1,245,155,12,1160,204,35,34,117,835,948,10,61,95,1,34,11,106,3,3305,29,14,61,95,1,835,106,186,21,89,247,35,424,835,271,52,4,18,147,26,44,659,23,62,46,659,3309,249,366,31,47,2739,454,31,47,50,454,31,1,5,73,101,71,204,278,179,40,198,349,313,141,4,50,6559,2,313,1457,69,2,333,18,61,117,561,117,61,204,72,87,204,1,18,244,1,245,155,12,1160,204,35,34,117,835,948,10,61,95,1,34,11,106,3,3305,29,14,61,95,1,835,106,186,21,89,247,35,424,835,271,52,4,18,147,1,train
939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,681,3,967,437,681,19,4647,105,466,3504,1904,1915,1894,37,256,235,660,456,4564,3,5,24,2,21,265,137,17,172,643,5,2555,87,754,765,230,2206,97,704,2505,87,204,18,1036,3330,441,26,652,11,5,79,4,5,531,11,225,87,191,2024,1515,8,204,1,2414,18,2761,2,2623,5786,8,30,456,5,874,87,681,3,967,437,681,19,4647,105,466,3504,1904,1915,1894,37,256,235,660,456,4564,3,5,24,2,21,265,137,17,172,5,666,10,1642,322,324,71,488,2097,189,72,5,442,627,12,31,1,87,18,196,90,1514,16,225,87,196,157,23,16,31,1,87,901,9,16,188,1,train
